minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,id,web_name,position,team_name,price_M
90,0,0,1,0,0,0,0,0,0,2,1,25,14.0,0.0,0.0,1.4,1,8,0,0,1,0.00,0.00,0.00,0.82,7,False,1,Raya,GKP,Arsenal,6.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,2,Arrizabalaga,GKP,Arsenal,4.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,3,Hein,GKP,Arsenal,4.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,4,Setford,GKP,Arsenal,3.9
90,0,0,1,0,0,0,0,0,0,0,3,40,37.6,0.3,2.0,4.0,16,2,1,17,1,0.00,0.00,0.00,0.82,11,True,5,Gabriel,DEF,Arsenal,7.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,6,Saliba,DEF,Arsenal,6.1
26,0,0,0,0,0,0,0,0,0,0,0,2,4.6,0.9,0.0,0.6,1,0,1,2,0,0.00,0.00,0.00,0.18,1,False,7,Calafiori,DEF,Arsenal,5.6
90,0,1,1,0,0,0,0,0,0,0,2,33,36.4,20.8,2.0,5.9,9,1,5,14,1,0.00,0.07,0.07,0.82,13,True,8,J.Timber,DEF,Arsenal,6.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,9,Kiwior,DEF,Arsenal,5.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,10,Lewis-Skelly,DEF,Arsenal,5.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,11,White,DEF,Arsenal,5.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,12,Zinchenko,DEF,Nott'm Forest,4.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,13,Clarke,DEF,Arsenal,3.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,14,Kacurri,DEF,Arsenal,3.9
