id,web_name,first_name,second_name,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,form,selected_by_percent,transfers_in,transfers_out,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,status,news,chance_of_playing_next_round,price_M,position,pts_per_million,team_name,team_short
1,Raya,David,Raya Martín,1,1,60,122,4.1,2700,0,0,14,22,1,0,6,487,3.2,34.5,4041601,2360293,0.0,0.06,0.06,21.25,425.8,33.4,0.0,46.0,a,,,6.0,GKP,20.333333333333332,Arsenal,ARS
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,1,41,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.4,14573,76804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,4.1,GKP,0.0,Arsenal,ARS
3,Hein,Karl,Hein,1,1,40,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,5545,48178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,Has joined Werder Bremen on loan for the rest of the season.,0.0,4.0,GKP,0.0,Arsenal,ARS
4,Setford,Tommy,Setford,1,1,39,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,33775,33536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,3.9,GKP,0.0,Arsenal,ARS
5,Gabriel,Gabriel,dos Santos Magalhães,1,2,72,164,6.8,2075,3,4,13,15,3,0,24,563,5.8,43.5,8175499,5200638,1.87,1.59,3.46,14.77,665.6,105.4,196.0,96.5,a,,100.0,7.2,DEF,22.77777777777778,Arsenal,ARS
6,Saliba,William,Saliba,1,2,61,96,4.0,1984,1,0,10,16,1,0,6,412,2.6,13.4,1900691,2227202,0.88,0.61,1.49,14.1,400.0,124.6,72.0,59.7,a,,100.0,6.1,DEF,15.737704918032788,Arsenal,ARS
7,Calafiori,Riccardo,Calafiori,1,2,56,87,4.1,1373,1,2,10,8,5,0,4,310,0.6,6.0,2632550,2461244,2.77,0.4,3.17,7.97,233.2,110.2,230.0,57.4,d,Knock - 75% chance of playing,75.0,5.6,DEF,15.535714285714286,Arsenal,ARS
8,J.Timber,Jurriën,Timber,1,2,63,148,5.1,2415,3,6,13,20,5,0,9,529,5.4,28.5,6635907,3770812,4.71,1.52,6.23,16.63,492.0,401.0,350.0,124.6,a,,100.0,6.3,DEF,23.492063492063494,Arsenal,ARS
9,Kiwior,Jakub,Kiwior,1,2,54,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1119,10911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,has joined Porto on loan for the rest of the season.,0.0,5.4,DEF,0.0,Arsenal,ARS
10,Lewis-Skelly,Myles,Lewis-Skelly,1,2,51,12,0.9,311,0,0,0,5,3,0,0,36,0.0,1.4,134917,466033,0.05,0.06,0.11,5.26,31.2,45.5,18.0,9.4,a,,,5.1,DEF,2.3529411764705883,Arsenal,ARS
